,tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
352,356,KSS.US Equity,Kohl's Corp.,8/13/1998,null,255030,Multiline Retail
353,357,KSU.US Equity,Kansas City Southern,5/23/2013,null,203040,Road & Rail
354,358,L.US Equity,Loews Corp.,5/9/1995,null,403010,Insurance
355,359,LB.US Equity,L Brands Inc.,9/15/1983,null,255040,Specialty Retail
356,360,LDOS.US Equity,Leidos Holdings Inc,12/18/2009,9/19/2013,451020,IT Services
357,361,LEG.US Equity,Leggett & Platt Inc,10/15/1999,null,252010,Household Durables
358,362,LEH.US Equity,Lehman Brothers Holdings Inc,1/1/1970,9/16/2008,402010,Diversified Financial Services
359,363,LEN.US Equity,Lennar Corp.,10/3/2005,null,252010,Household Durables
360,364,LH.US Equity,Laboratory Corp of America Holdings,10/29/2004,null,351020,Health Care Providers & Services
361,365,LHX.US Equity,L3Harris Technologies Inc,9/19/2008,null,201010,Aerospace & Defense
362,366,LIN.US Equity,Linde plc,7/2/1992,null,151010,Chemicals
363,367,LKQ.US Equity,LKQ Corp,5/20/2016,null,255010,Distributors
364,368,LLL.US Equity,L3 Technologies Inc,11/30/2004,6/27/2019,201010,Aerospace & Defense
365,369,LLTC.US Equity,Linear Technology Corp.,3/31/2000,3/10/2017,453010,Semiconductors & Semiconductor Equipment
366,370,LLY.US Equity,Eli Lilly and Co.,11/19/1970,null,352020,Pharmaceuticals
367,371,LM.US Equity,Legg Mason Inc,4/21/2006,11/30/2016,402030,Capital Markets
368,372,LMT.US Equity,Lockheed Martin Corp.,7/19/1984,null,201010,Aerospace & Defense
369,373,LNC.US Equity,Lincoln National Corp,7/1/1976,null,403010,Insurance
370,374,LNT.US Equity,Alliant Energy Corp,6/30/2016,null,551010,Electric Utilities
371,375,LO.US Equity,Lorillard Inc.,6/10/2008,6/10/2015,302030,Tobacco
372,376,LOW.US Equity,Lowe's Companies Inc,3/1/1984,null,255040,Specialty Retail
373,377,LRCX.US Equity,Lam Research Corp,6/5/2012,null,453010,Semiconductors & Semiconductor Equipment
374,378,LSI.US Equity,"Life Storage, Inc",12/13/1995,5/8/2014,404010,Real Estate -- Discontinued effective 04/28/2006
375,379,LUV.US Equity,Southwest Airlines Co,7/12/1994,null,203020,Airlines
376,380,LVLT.US Equity,Level 3 Comm's Inc,11/4/2014,10/11/2017,501010,Diversified Telecommunication Services
377,381,LXK.US Equity,Lexmark International Inc,8/12/1999,9/27/2012,452020,Computers & Peripherals
378,382,LYB.US Equity,LyondellBasell Industries NV,9/4/2012,null,151010,Chemicals
379,383,M.US Equity,Macy's Inc.,11/7/1995,4/4/2020,255030,Multiline Retail
380,384,MA.US Equity,Mastercard Inc.,7/17/2008,null,451020,IT Services
381,385,MAA.US Equity,Mid-America Apartment Communities,12/1/2016,null,601010,Equity Real Estate Investment Trusts (REITs)
382,386,MAC.US Equity,The Macerich Co,5/8/2013,12/19/2019,601010,Equity Real Estate Investment Trusts (REITs)
383,387,MAR.US Equity,Marriott International Inc,10/11/1993,null,253010,"Hotels, Restaurants & Leisure"
384,388,MAS.US Equity,Masco Corp.,6/18/1981,null,201020,Building Products
385,389,MAT.US Equity,Mattel Inc.,3/11/1982,6/5/2019,252020,Leisure Equipment & Products
386,390,MBI.US Equity,MBIA Inc,12/2/1996,12/17/2009,403010,Insurance
387,391,MCD.US Equity,McDonald's Corp.,6/25/1970,null,253010,"Hotels, Restaurants & Leisure"
388,392,MCHP.US Equity,Microchip Technology Inc,9/7/2007,null,453010,Semiconductors & Semiconductor Equipment
389,393,MCK.US Equity,McKesson Corp.,1/12/1999,null,351020,Health Care Providers & Services
390,394,MCO.US Equity,Moody's Corp,10/2/2000,null,402030,Capital Markets
391,395,MDLZ.US Equity,Mondelez International Inc,3/30/2007,null,302020,Food Products
392,396,MDP.US Equity,Meredith Corp.,1/1/1970,1/2/2011,254010,Media
